Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
238,Five Nights at Freddy's,291493620,137275620,154218000,2023.csv,2023.0,0.47093867783452686,0.5290613221654731
239,Pacific Rim: Uprising,290930148,59874525,231055623,2018.csv,2018.0,0.20580378283793402,0.794196217162066
240,Divergent,288885818,150947895,137937923,2014.csv,2014.0,0.5225174985917792,0.47748250140822074
241,Maze Runner: The Death Cure,288175335,58032443,230142892,2018.csv,2018.0,0.2013789382772818,0.7986210617227182
242,Elvis,287740048,151040048,136700000,2022.csv,2022.0,0.5249184082988684,0.47508159170113157
243,Pitch Perfect 2,287144079,184296230,102847849,2015.csv,2015.0,0.6418249355578737,0.35817506444212627
244,Paddington,282370135,76271832,206098303,2014.csv,2014.0,0.2701129565277858,0.7298870434722142
245,Split,278454358,138291365,140162993,2017.csv,2017.0,0.4966392553281569,0.5033607446718431
246,Creed III,276148615,156248615,119900000,2023.csv,2023.0,0.5658135022694212,0.4341864977305789
247,Mr. Peabody & Sherman,275698039,111506430,164191609,2014.csv,2014.0,0.4044512989807664,0.5955487010192336
248,Tomb Raider,274950803,58250803,216700000,2018.csv,2018.0,0.21185900300862187,0.7881409969913781
249,The Flash,271333313,108133313,163200000,2023.csv,2023.0,0.3985257534521756,0.6014742465478243
250,Neighbors,270665134,150157400,120507734,2014.csv,2014.0,0.5547718606416444,0.44522813935835565
251,The Nun II,269467073,86267073,183200000,2023.csv,2023.0,0.3201395704476294,0.6798604295523706
252,Exodus: Gods and Kings,268175631,65014513,203161118,2014.csv,2014.0,0.24243259075243864,0.7575674092475614
253,Taylor Swift: The Eras Tour,261656269,180756269,80900000,2023.csv,2023.0,0.6908157396374096,0.30918426036259045
254,Terminator: Dark Fate,261119292,62253077,198866215,2019.csv,2019.0,0.23840856998034446,0.7615914300196556
255,Mojin: The Lost Legend,259368448,1243810,258124638,2015.csv,2015.0,0.004795533186827721,0.9952044668131723
256,Blade Runner 2049,259154159,92054159,167100000,2017.csv,2017.0,0.35521003928785105,0.6447899607121489
257,Parasite,258726674,53369749,205356925,2019.csv,2019.0,0.20627849527412856,0.7937215047258714
258,Kung Fu Yoga,257743016,362657,257380359,2017.csv,2017.0,0.0014070487946800467,0.99859295120532
